Month,Day,Title,Link,List,Year,Genres,Budget,Box office
2,27.0,The Lazarus Effect,/wiki/The_Lazarus_Effect_(2015_film),"[' science fantasy horror', '$3.3 million[3][4]', '$38.4 million[4]']",2015.0, science fantasy horror,$3.3 million[3][4],$38.4 million[4]
2,27.0,Maps to the Stars,/wiki/Maps_to_the_Stars,"['internationally co-produced satirical drama', '$13 million[6]', '$4.5 million[7][8]']",2015.0,internationally co-produced satirical drama,$13 million[6],$4.5 million[7][8]
3,6.0,Chappie,/wiki/Chappie_(film),"[' dystopian science fiction action', '$49 million[4]', '$102.1 million[4]']",2015.0, dystopian science fiction action,$49 million[4],$102.1 million[4]
3,6.0,The Second Best Exotic Marigold Hotel,/wiki/The_Second_Best_Exotic_Marigold_Hotel,"['comedy-drama', '$10 million[4]', '$86 million[5]']",2015.0,comedy-drama,$10 million[4],$86 million[5]
3,6.0,Unfinished Business,/wiki/Unfinished_Business_(2015_film),"[' comedy', '$35 million[2]', '$14.4 million[3]']",2015.0, comedy,$35 million[2],$14.4 million[3]
3,13.0,Cinderella,/wiki/Cinderella_(2015_American_film),"[' romantic fantasy', '$90 million[4][5]', '$540.5 million[4]']",2015.0, romantic fantasy,$90 million[4][5],$540.5 million[4]
3,13.0,The Cobbler,/wiki/The_Cobbler_(2014_film),"[' magic realism comedy-drama', '$10 million[2]', '$6.5 million[3]']",2015.0, magic realism comedy-drama,$10 million[2],$6.5 million[3]
3,13.0,It Follows,/wiki/It_Follows,"[' horror', '$1.3 million[2]', '$23.3 million[3]']",2015.0, horror,$1.3 million[2],$23.3 million[3]
3,13.0,Run All Night,/wiki/Run_All_Night_(film),"[' action thriller', '$50–61.6 million[2][3]', '$71.6 million[3]']",2015.0, action thriller,$50–61.6 million[2][3],$71.6 million[3]
3,20.0,Danny Collins,/wiki/Danny_Collins_(film),"[' comedy-drama', '$10 million[3][4]', '$10.8 million[3]']",2015.0, comedy-drama,$10 million[3][4],$10.8 million[3]
3,20.0,The Divergent Series: Insurgent,/wiki/The_Divergent_Series:_Insurgent,"[' dystopian science fiction action', '$110 million[2]', '$297.3 million[2]']",2015.0, dystopian science fiction action,$110 million[2],$297.3 million[2]
3,20.0,Do You Believe?,/wiki/Do_You_Believe%3F_(film),"[' Christian drama', '$2.3\xa0million[2]', '$14.4\xa0million[3]']",2015.0, Christian drama,$2.3 million[2],$14.4 million[3]
3,20.0,The Gunman,/wiki/The_Gunman_(2015_film),"['action thriller', '$40 million[3]', '$24.2 million[1]']",2015.0,action thriller,$40 million[3],$24.2 million[1]
3,20.0,Tracers,/wiki/Tracers_(film),"[' action', '$11 million', '$18,687,388 (Theatrical Performance)[4]$1,269,632 (Home Market Performance)[4]$19 million+ (total)']",2015.0, action,$11 million,"$18,687,388 (Theatrical Performance)[4]$1,269,632 (Home Market Performance)[4]$19 million+ (total)"
3,27.0,Get Hard,/wiki/Get_Hard,"[' crime comedy', '$40-44 million[3][4]', '$111.8 million[4]']",2015.0, crime comedy,$40-44 million[3][4],$111.8 million[4]
3,27.0,Home,/wiki/Home_(2015_film),"[' animated science fiction comedy', '$135 million[3]', '$386 million[3]']",2015.0, animated science fiction comedy,$135 million[3],$386 million[3]
3,27.0,Serena,/wiki/Serena_(2014_film),"['drama', '$25–30\xa0million[2]', '$5\xa0million[3]']",2015.0,drama,$25–30 million[2],$5 million[3]
3,27.0,While We're Young,/wiki/While_We%27re_Young_(film),"[' comedy-drama', '$10 million[3]', '$21.1 million[4]']",2015.0, comedy-drama,$10 million[3],$21.1 million[4]
4,3.0,Furious 7,/wiki/Furious_7,"['action', '$190 million[3]', '$1.515 billion[3]']",2015.0,action,$190 million[3],$1.515 billion[3]
4,3.0,Woman in Gold,/wiki/Woman_in_Gold_(film),"['biographical drama', '$11 million[1]', '$61.6 million[1]']",2015.0,biographical drama,$11 million[1],$61.6 million[1]
4,10.0,Ex Machina,/wiki/Ex_Machina_(film),"['science fiction psychological thriller', '$15 million[4]', '$37.3 million[5]']",2015.0,science fiction psychological thriller,$15 million[4],$37.3 million[5]
4,10.0,The Longest Ride,/wiki/The_Longest_Ride_(film),"[' Neo Western romantic drama', '$34 million[2]', '$63 million[3]']",2015.0, Neo Western romantic drama,$34 million[2],$63 million[3]
4,17.0,Child 44,/wiki/Child_44_(film),"['mystery thriller', '$50 million[3]', '$13\xa0million[2]']",2015.0,mystery thriller,$50 million[3],$13 million[2]
4,17.0,Monkey Kingdom,/wiki/Monkey_Kingdom,"[' nature documentary', '$5–10 million[3]', '$17.1 million[4]']",2015.0, nature documentary,$5–10 million[3],$17.1 million[4]
4,17.0,Paul Blart: Mall Cop 2,/wiki/Paul_Blart:_Mall_Cop_2,"[' action comedy', '$30–40 million[7][8]', '$107.6 million[5]']",2015.0, action comedy,$30–40 million[7][8],$107.6 million[5]
4,17.0,Unfriended,/wiki/Unfriended,"['screenlife supernatural horror', '$1 million[2]', '$62.9 million[3]']",2015.0,screenlife supernatural horror,$1 million[2],$62.9 million[3]
4,24.0,Adult Beginners,/wiki/Adult_Beginners,"[' comedy drama', '$2 million[4]', '$108,808[5]']",2015.0, comedy drama,$2 million[4],"$108,808[5]"
4,24.0,Brotherly Love,/wiki/Brotherly_Love_(2015_film),"[' drama', '$1.9 million[3]', '$478,595[4]']",2015.0, drama,$1.9 million[3],"$478,595[4]"
4,24.0,Little Boy,/wiki/Little_Boy_(film),"[' War II war-drama', '$20 million[2]', '$17.7 million[2]']",2015.0, War II war-drama,$20 million[2],$17.7 million[2]
4,24.0,The Age of Adaline,/wiki/The_Age_of_Adaline,"[' romantic fantasy', '$25 million[2]', '$65.7 million[3]']",2015.0, romantic fantasy,$25 million[2],$65.7 million[3]
4,24.0,The Water Diviner,/wiki/The_Water_Diviner,"['drama', '$22.5 million[3]', '$38.2 million[3]']",2015.0,drama,$22.5 million[3],$38.2 million[3]
5,1.0,Avengers: Age of Ultron,/wiki/Avengers:_Age_of_Ultron,"[' superhero', '$444–495.2 million (gross)[2][3]$365 million (net)[2]', '$1.403 billion[4]']",2015.0, superhero,$444–495.2 million (gross)[2][3]$365 million (net)[2],$1.403 billion[4]
5,8.0,The D Train,/wiki/The_D_Train,"[' black comedy', '$3.4 million[2]', '$774,780[3]']",2015.0, black comedy,$3.4 million[2],"$774,780[3]"
5,8.0,Hot Pursuit,/wiki/Hot_Pursuit_(2015_film),"[' action comedy', '$35 million[3]', '$51.4 million[3]']",2015.0, action comedy,$35 million[3],$51.4 million[3]
5,8.0,Maggie,/wiki/Maggie_(film),"[' post-apocalyptic horror drama', '$1.4 million[4]', '$1.6 million[5]']",2015.0, post-apocalyptic horror drama,$1.4 million[4],$1.6 million[5]
5,15.0,Mad Max: Fury Road,/wiki/Mad_Max:_Fury_Road,"[' post-apocalyptic action', '$154.6–185.1 million[5]', '$380.4 million[6]']",2015.0, post-apocalyptic action,$154.6–185.1 million[5],$380.4 million[6]
5,15.0,Pitch Perfect 2,/wiki/Pitch_Perfect_2,"[' musical comedy', '$29–31 million[2][3]', '$287.5 million[4]']",2015.0, musical comedy,$29–31 million[2][3],$287.5 million[4]
5,15.0,I'll See You in My Dreams,/wiki/I%27ll_See_You_in_My_Dreams_(2015_film),"[' comedy-drama', '$1 million[2]', '$7.5 million[2]']",2015.0, comedy-drama,$1 million[2],$7.5 million[2]
5,22.0,Poltergeist,/wiki/Poltergeist_(2015_film),"[' supernatural horror', '$35 million[1]', '$95.4 million[2]']",2015.0, supernatural horror,$35 million[1],$95.4 million[2]
5,22.0,Tomorrowland,/wiki/Tomorrowland_(film),"[' science fiction', '$180–190 million[4]', '$209 million[5]']",2015.0, science fiction,$180–190 million[4],$209 million[5]
5,29.0,Aloha,/wiki/Aloha_(2015_film),"[' romantic comedy', '$37–52 million[3][4]', '$26.3 million[4]']",2015.0, romantic comedy,$37–52 million[3][4],$26.3 million[4]
5,29.0,San Andreas,/wiki/San_Andreas_(film),"[' disaster', '$110\xa0million[2][3]', '$474\xa0million[4]']",2015.0, disaster,$110 million[2][3],$474 million[4]
5,29.0,Barely Lethal,/wiki/Barely_Lethal,"[' action comedy', '$15 million[4]', '$933,847[5]']",2015.0, action comedy,$15 million[4],"$933,847[5]"
6,3.0,Entourage,/wiki/Entourage_(film),"[' comedy', '$27–39 million[2][3][4]', '$49.3 million[5]']",2015.0, comedy,$27–39 million[2][3][4],$49.3 million[5]
6,5.0,Spy,/wiki/Spy_(2015_film),"[' spy action comedy', '$65 million[2]', '$235.7 million[3]']",2015.0, spy action comedy,$65 million[2],$235.7 million[3]
6,5.0,Insidious: Chapter 3,/wiki/Insidious:_Chapter_3,"['supernatural horror', '$11 million[5]', '$113 million[6]']",2015.0,supernatural horror,$11 million[5],$113 million[6]
6,5.0,Love & Mercy,/wiki/Love_%26_Mercy_(film),"[' biographical drama', '$10 million[2]', '$28.6\xa0million[3]']",2015.0, biographical drama,$10 million[2],$28.6 million[3]
6,12.0,Jurassic World,/wiki/Jurassic_World,"[' science fiction action', '$150–215 million[3][4]', '$1.671 billion[3]']",2015.0, science fiction action,$150–215 million[3][4],$1.671 billion[3]
6,12.0,Me and Earl and the Dying Girl,/wiki/Me_and_Earl_and_the_Dying_Girl_(film),"[' coming-of-age comedy-drama', '$8 million[2]', '$9.1 million[3]']",2015.0, coming-of-age comedy-drama,$8 million[2],$9.1 million[3]
6,19.0,Dope,/wiki/Dope_(2015_film),"[' coming-of-age comedy-drama', '$7 million[3]', '$18 million[3]']",2015.0, coming-of-age comedy-drama,$7 million[3],$18 million[3]
6,19.0,Inside Out,/wiki/Inside_Out_(2015_film),"[' animated coming-of-age', '$175million', '$858.8million']",2015.0, animated coming-of-age,$175million,$858.8million
6,26.0,Max,/wiki/Max_(2015_film),"[' family adventure war drama', '$20 million[2]', '$44 million[3]']",2015.0, family adventure war drama,$20 million[2],$44 million[3]
6,26.0,Ted 2,/wiki/Ted_2,"[' fantasy comedy', '$68 million[2][3][4]', '$215.9 million[5]']",2015.0, fantasy comedy,$68 million[2][3][4],$215.9 million[5]
7,1.0,Terminator Genisys,/wiki/Terminator_Genisys,"[' science fiction action', '$155–158 million[2][3]', '$440.6 million[2]']",2015.0, science fiction action,$155–158 million[2][3],$440.6 million[2]
7,1.0,Magic Mike XXL,/wiki/Magic_Mike_XXL,"[' comedy-drama', '$14.8 million[2]', '$117.8 million[2]']",2015.0, comedy-drama,$14.8 million[2],$117.8 million[2]
7,10.0,Minions,/wiki/Minions_(film),"[' animated comedy', '$74 million[2]', '$1.159 billion[3]']",2015.0, animated comedy,$74 million[2],$1.159 billion[3]
7,10.0,The Gallows,/wiki/The_Gallows,"[' found footage supernatural horror', '$100,000[2]', '$43 million[2]']",2015.0, found footage supernatural horror,"$100,000[2]",$43 million[2]
7,10.0,Self/Less,/wiki/Self/less,"[' science fiction action thriller', '$26 million[3][4]', '$30.5 million[3]']",2015.0, science fiction action thriller,$26 million[3][4],$30.5 million[3]
7,10.0,Tangerine,/wiki/Tangerine_(film),"[' comedy-drama', '$100,000[2]', '$935,900[3]']",2015.0, comedy-drama,"$100,000[2]","$935,900[3]"
7,10.0,Strangerland,/wiki/Strangerland,"['drama suspense', '$10 million[2]', '$100,044 (Theatrical Performance)[3]+$924,894 (Home Market Performance)[2]$1 million (total)']",2015.0,drama suspense,$10 million[2],"$100,044 (Theatrical Performance)[3]+$924,894 (Home Market Performance)[2]$1 million (total)"
7,17.0,Ant-Man,/wiki/Ant-Man_(film),"[' superhero', '$130–169.3 million[2][3][4]', '$519.3 million[2]']",2015.0, superhero,$130–169.3 million[2][3][4],$519.3 million[2]
7,17.0,Trainwreck,/wiki/Trainwreck_(film),"[' romantic comedy', '$35 million[2]', '$140.8 million[3]']",2015.0, romantic comedy,$35 million[2],$140.8 million[3]
7,17.0,Irrational Man,/wiki/Irrational_Man_(film),"[' mystery comedy-drama', '$11 million[2]', '$27.4 million[3]']",2015.0, mystery comedy-drama,$11 million[2],$27.4 million[3]
7,17.0,Mr. Holmes,/wiki/Mr._Holmes,"['mystery', '$10 million (est.)[4]', '$29.4 million[2]']",2015.0,mystery,$10 million (est.)[4],$29.4 million[2]
7,24.0,Pixels,/wiki/Pixels_(2015_film),"['science fiction comedy', '$88–129 million[4][5]', '$244.9 million[5]']",2015.0,science fiction comedy,$88–129 million[4][5],$244.9 million[5]
7,24.0,Southpaw,/wiki/Southpaw_(film),"[' sports drama', '$30 million[3]', '$95 million[4]']",2015.0, sports drama,$30 million[3],$95 million[4]
7,24.0,Paper Towns,/wiki/Paper_Towns_(film),"[' romantic comedy-drama', '$12 million[2]', '$85.5 million[3]']",2015.0, romantic comedy-drama,$12 million[2],$85.5 million[3]
7,24.0,The Vatican Tapes,/wiki/The_Vatican_Tapes,"[' supernatural horror', '$13 million[3]', '$13.5 million[4]']",2015.0, supernatural horror,$13 million[3],$13.5 million[4]
7,29.0,Vacation,/wiki/Vacation_(2015_film),"[' road comedy', '$31 million[5]', '$107.2 million[6]']",2015.0, road comedy,$31 million[5],$107.2 million[6]
7,31.0,Mission Impossible: Rogue Nation,/wiki/Mission:_Impossible_%E2%80%93_Rogue_Nation,"[' action spy', '$150 million[3]', '$688.9 million[3]']",2015.0, action spy,$150 million[3],$688.9 million[3]
8,7.0,Fantastic Four,/wiki/Fantastic_Four_(2015_film),"['superhero', '$120–155 million[4][5]', '$167.9 million[4]']",2015.0,superhero,$120–155 million[4][5],$167.9 million[4]
8,7.0,The Gift,/wiki/The_Gift_(2015_American_film),"['psychological thriller', '$5 million[4][5]', '$60 million[1]']",2015.0,psychological thriller,$5 million[4][5],$60 million[1]
8,7.0,Ricki and the Flash,/wiki/Ricki_and_the_Flash,"[' musical comedy-drama', '$18 million[4][5]', '$41.3 million[4]']",2015.0, musical comedy-drama,$18 million[4][5],$41.3 million[4]
8,14.0,Straight Outta Compton,/wiki/Straight_Outta_Compton_(film),"[' biographical drama', '$28–50 million[2][3][4]', '$201.6 million[2]']",2015.0, biographical drama,$28–50 million[2][3][4],$201.6 million[2]
8,14.0,The Man from U.N.C.L.E.,/wiki/The_Man_from_U.N.C.L.E._(film),"['spy', '$75 million[2][3]', '$110\xa0million[4]']",2015.0,spy,$75 million[2][3],$110 million[4]
8,21.0,American Ultra,/wiki/American_Ultra,"[' action comedy', '$28 million[2][3]', '$30.3 million[3]']",2015.0, action comedy,$28 million[2][3],$30.3 million[3]
8,21.0,Hitman: Agent 47,/wiki/Hitman:_Agent_47,"['action thriller', '$35 million[2]', '$82.3 million[3]']",2015.0,action thriller,$35 million[2],$82.3 million[3]
8,26.0,No Escape,/wiki/No_Escape_(2015_film),"[' action thriller', '$5 million[4]', '$54.4 million[5]']",2015.0, action thriller,$5 million[4],$54.4 million[5]
8,28.0,War Room,/wiki/War_Room_(film),"[' Christian drama', '$3 million[2]', '$74 million[3]']",2015.0, Christian drama,$3 million[2],$74 million[3]
8,28.0,We Are Your Friends,/wiki/We_Are_Your_Friends_(film),"['drama', '$2\xa0million[2]', '$11.1 million[3]']",2015.0,drama,$2 million[2],$11.1 million[3]
9,4.0,Before We Go,/wiki/Before_We_Go,"[' romantic drama', '$3 million[1]', '$483,938[2]']",2015.0, romantic drama,$3 million[1],"$483,938[2]"
9,11.0,The Visit,/wiki/The_Visit_(2015_American_film),"[' found footage horror', '$5 million[2]', '$98.5 million[3]']",2015.0, found footage horror,$5 million[2],$98.5 million[3]
9,11.0,The Perfect Guy,/wiki/The_Perfect_Guy_(2015_film),"[' romantic thriller drama', '$12-$18 million[3][4]', '$60.3 million[3]']",2015.0, romantic thriller drama,$12-$18 million[3][4],$60.3 million[3]
9,11.0,Sleeping with Other People,/wiki/Sleeping_with_Other_People,"[' romantic comedy', '~$3 million[2]', '$3.2 million[3]']",2015.0, romantic comedy,~$3 million[2],$3.2 million[3]
9,18.0,Black Mass,/wiki/Black_Mass_(film),"[' biographical crime drama', '$53 million[6]', '$100 million[7]']",2015.0, biographical crime drama,$53 million[6],$100 million[7]
9,18.0,Captive,/wiki/Captive_(2015_film),"[' crime-drama thriller', '$2 million[2]', '$2.8 million[3]']",2015.0, crime-drama thriller,$2 million[2],$2.8 million[3]
9,18.0,Everest,/wiki/Everest_(2015_film),"['biographical survival adventure', '$55 million[2]', '$203.4 million[2]']",2015.0,biographical survival adventure,$55 million[2],$203.4 million[2]
9,18.0,Maze Runner: The Scorch Trials,/wiki/Maze_Runner:_The_Scorch_Trials,"[' dystopian science fiction', '$61\xa0million[4]', '$312.3\xa0million[5]']",2015.0, dystopian science fiction,$61 million[4],$312.3 million[5]
9,18.0,Sicario,/wiki/Sicario_(2015_film),"[' action thriller', '$30 million[2]', '$85 million[3]']",2015.0, action thriller,$30 million[2],$85 million[3]
9,25.0,Hotel Transylvania 2,/wiki/Hotel_Transylvania_2,"[' animated monster comedy', '$80\xa0million[6]', '$474.8\xa0million[7]']",2015.0, animated monster comedy,$80 million[6],$474.8 million[7]
9,25.0,99 Homes,/wiki/99_Homes,"[' drama', '$8 million[2]', '$1.9 million[3]']",2015.0, drama,$8 million[2],$1.9 million[3]
9,25.0,The Intern,/wiki/The_Intern_(2015_film),"[' buddy comedy-drama', '$35 million[1][2]', '$194.6 million[1]']",2015.0, buddy comedy-drama,$35 million[1][2],$194.6 million[1]
9,25.0,Mississippi Grind,/wiki/Mississippi_Grind,"[' comedy-drama', '$7.1 million[3]', '$422,746[4]']",2015.0, comedy-drama,$7.1 million[3],"$422,746[4]"
10,2.0,The Martian,/wiki/The_Martian_(film),"['science fiction', '$108 million[3]', '$630.6 million[4]']",2015.0,science fiction,$108 million[3],$630.6 million[4]
10,2.0,Freeheld,/wiki/Freeheld,"[' drama', '$7 million[4]', '$1.7 million[5]']",2015.0, drama,$7 million[4],$1.7 million[5]
10,9.0,Steve Jobs,/wiki/Steve_Jobs_(film),"['biographical drama', '$30 million[3]', '$34.4 million[3]']",2015.0,biographical drama,$30 million[3],$34.4 million[3]
10,9.0,Pan,/wiki/Pan_(2015_film),"[' fantasy', '$150 million[5]', '$128.4 million[6]']",2015.0, fantasy,$150 million[5],$128.4 million[6]
10,9.0,Knock Knock,/wiki/Knock_Knock_(2015_film),"['thriller', '$10 million[3][4]', '$6.3 million[5]']",2015.0,thriller,$10 million[3][4],$6.3 million[5]
10,16.0,Beasts of No Nation,/wiki/Beasts_of_No_Nation_(film),"[' war drama', '$6 million[2]', '$90,777[3]']",2015.0, war drama,$6 million[2],"$90,777[3]"
10,16.0,Bridge of Spies,/wiki/Bridge_of_Spies_(film),"[' historical drama', '$40 million[6]', '$165.5 million[7]']",2015.0, historical drama,$40 million[6],$165.5 million[7]
10,16.0,Crimson Peak,/wiki/Crimson_Peak,"['gothic romance', '$55 million[4]', '$74.7 million[4]']",2015.0,gothic romance,$55 million[4],$74.7 million[4]
10,16.0,Goosebumps,/wiki/Goosebumps_(film),"[' horror comedy', '$58–84 million[4][5]', '$158.3 million[5]']",2015.0, horror comedy,$58–84 million[4][5],$158.3 million[5]
10,16.0,Room,/wiki/Room_(2015_film),"['drama', '$13 million[4]', '$36.3 million[5]']",2015.0,drama,$13 million[4],$36.3 million[5]
10,16.0,Woodlawn,/wiki/Woodlawn_(film),"[' Christian sports drama', '$13 million[3]', '$14.4 million[4]']",2015.0, Christian sports drama,$13 million[3],$14.4 million[4]
10,16.0,Truth,/wiki/Truth_(2015_film),"[' biographical political drama', '$9.6\xa0million[2]', '$5.6\xa0million[3]']",2015.0, biographical political drama,$9.6 million[2],$5.6 million[3]
10,23.0,Rock the Kasbah,/wiki/Rock_the_Kasbah_(film),"[' comedy', '$15 million[3]', '$3.4 million[4]']",2015.0, comedy,$15 million[3],$3.4 million[4]
10,23.0,Jem and the Holograms,/wiki/Jem_and_the_Holograms_(film),"[' musical drama', '$5 million[2][3]', '$2.3 million[3]']",2015.0, musical drama,$5 million[2][3],$2.3 million[3]
10,23.0,The Last Witch Hunter,/wiki/The_Last_Witch_Hunter,"[' fantasy action', '$71–90 million[5][3]', '$146.9 million[3]']",2015.0, fantasy action,$71–90 million[5][3],$146.9 million[3]
10,30.0,Scouts Guide to the Zombie Apocalypse,/wiki/Scouts_Guide_to_the_Zombie_Apocalypse,"[' zombie comedy', '$15–24million[2][3][4]', '$16.1million[2]']",2015.0, zombie comedy,$15–24million[2][3][4],$16.1million[2]
10,30.0,Our Brand Is Crisis,/wiki/Our_Brand_Is_Crisis_(2015_film),"[' comedy-drama', '$28 million[2]', '$8.6 million[3]']",2015.0, comedy-drama,$28 million[2],$8.6 million[3]
10,30.0,Freaks of Nature,/wiki/Freaks_of_Nature_(film),"[' comedy horror', '$33 million[1]', '$70,958[2]']",2015.0, comedy horror,$33 million[1],"$70,958[2]"
10,30.0,Burnt,/wiki/Burnt_(film),"[' drama', '$20 million[2]', '$36.6 million[3]']",2015.0, drama,$20 million[2],$36.6 million[3]
11,6.0,Spectre,/wiki/Spectre_(2015_film),"['spy', '$245–300 million[N 1]', '$880.7 million[14]']",2015.0,spy,$245–300 million[N 1],$880.7 million[14]
11,6.0,Spotlight,/wiki/Spotlight_(film),"[' biographical drama', '$20 million[2]', '$98.7 million[3]']",2015.0, biographical drama,$20 million[2],$98.7 million[3]
11,6.0,The Peanuts Movie,/wiki/The_Peanuts_Movie,"[' animated comedy', '$99 million[6]', '$246.2 million[6]']",2015.0, animated comedy,$99 million[6],$246.2 million[6]
11,13.0,The 33,/wiki/The_33,"['biographical disaster-survival drama', '$26 million[4]', '$28 million[5]']",2015.0,biographical disaster-survival drama,$26 million[4],$28 million[5]
11,13.0,My All American,/wiki/My_All_American,"[' biographical drama sport', '$20 million[1]', '$2.2 million[2]']",2015.0, biographical drama sport,$20 million[1],$2.2 million[2]
11,13.0,Love the Coopers,/wiki/Love_the_Coopers,"[' Christmas comedy-drama', '$17 million[2][3]', '$42.4 million[3]']",2015.0, Christmas comedy-drama,$17 million[2][3],$42.4 million[3]
11,13.0,By The Sea,/wiki/By_the_Sea_(2015_film),"[' romantic drama', '$10 million[2]', '$3.3 million[2]']",2015.0, romantic drama,$10 million[2],$3.3 million[2]
11,20.0,Carol,/wiki/Carol_(film),"['romantic period drama', '$11.8 million[3]', '$42.5 million[4]']",2015.0,romantic period drama,$11.8 million[3],$42.5 million[4]
11,20.0,Legend,/wiki/Legend_(2015_film),"['biographical crime thriller', 'approx. $25 million', '$43 million']",2015.0,biographical crime thriller,approx. $25 million,$43 million
11,20.0,The Hunger Games: Mockingjay – Part 2,/wiki/The_Hunger_Games:_Mockingjay_%E2%80%93_Part_2,"[' dystopian action', '$160 million[3]', '$661.4 million[4]']",2015.0, dystopian action,$160 million[3],$661.4 million[4]
11,20.0,The Night Before,/wiki/The_Night_Before_(2015_film),"[' Christmas comedy stoner', '$25–33 million[3][4]', '$52.4 million[4]']",2015.0, Christmas comedy stoner,$25–33 million[3][4],$52.4 million[4]
